name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Delaware County, Iowa",Professional school degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,51
"Clinton County, Iowa",9th grade,2011-2015,Less than High School,No,No,No,253
"Bremer County, Iowa",Total,2014-2018,NA,NA,NA,NA,16326
"Monroe County, Iowa",GED or alternative credential,2011-2015,High School Graduate,Yes,No,No,263
"Howard County, Iowa",2nd grade,2008-2012,Less than High School,No,No,No,30
"Emmet County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,765
"Hancock County, Iowa",8th grade,2014-2018,Less than High School,No,No,No,121
"Winnebago County, Iowa",3rd grade,2015-2019,Less than High School,No,No,No,4
"Decatur County, Iowa",9th grade,2014-2018,Less than High School,No,No,No,96
"Bremer County, Iowa",Kindergarten,2014-2018,Less than High School,No,No,No,0
"Pottawattamie County, Iowa",9th grade,2011-2015,Less than High School,No,No,No,664
"Mills County, Iowa",Kindergarten,2015-2019,Less than High School,No,No,No,0
"Scott County, Iowa","Some college, less than 1 year",2009-2013,Some College or Associates Degree,Yes,No,No,9983
"Des Moines County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,180
"Jones County, Iowa",Total,2011-2015,NA,NA,NA,NA,14574
"Harrison County, Iowa",No schooling completed,2015-2019,Less than High School,No,No,No,73
"Grundy County, Iowa",Kindergarten,2013-2017,Less than High School,No,No,No,0
"Des Moines County, Iowa",GED or alternative credential,2009-2013,High School Graduate,Yes,No,No,1273
"Plymouth County, Iowa",9th grade,2009-2013,Less than High School,No,No,No,83
"Hardin County, Iowa",Regular high school diploma,2008-2012,High School Graduate,Yes,No,No,3821
"Cherokee County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,76
"O'Brien County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,35
"Cedar County, Iowa",10th grade,2012-2016,Less than High School,No,No,No,135
"Union County, Iowa",7th grade,2008-2012,Less than High School,No,No,No,16
"Madison County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,525
"Clarke County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,0
"Grundy County, Iowa",3rd grade,2013-2017,Less than High School,No,No,No,0
"Jones County, Iowa",11th grade,2008-2012,Less than High School,No,No,No,363
"Clarke County, Iowa",Total,2015-2019,NA,NA,NA,NA,6390
"Dubuque County, Iowa",11th grade,2013-2017,Less than High School,No,No,No,963
"Clay County, Iowa","12th grade, no diploma",2014-2018,Less than High School,No,No,No,136
"Bremer County, Iowa","Some college, less than 1 year",2008-2012,Some College or Associates Degree,Yes,No,No,996
"Wayne County, Iowa",Regular high school diploma,2010-2014,High School Graduate,Yes,No,No,1708
"Carroll County, Iowa",Nursery school,2010-2014,Less than High School,No,No,No,0
"Floyd County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,0
"Wapello County, Iowa","12th grade, no diploma",2011-2015,Less than High School,No,No,No,406
"Black Hawk County, Iowa",Regular high school diploma,2015-2019,High School Graduate,Yes,No,No,21888
"Dickinson County, Iowa",9th grade,2009-2013,Less than High School,No,No,No,73
"Crawford County, Iowa",8th grade,2008-2012,Less than High School,No,No,No,540
"Emmet County, Iowa",Bachelor's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,967
"Plymouth County, Iowa",Master's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,611
"Crawford County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,54
"Harrison County, Iowa",2nd grade,2014-2018,Less than High School,No,No,No,0
"Johnson County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,422
"Marion County, Iowa",8th grade,2010-2014,Less than High School,No,No,No,503
"Jones County, Iowa",Kindergarten,2008-2012,Less than High School,No,No,No,0
"Marshall County, Iowa",Associate's degree,2015-2019,Some College or Associates Degree,Yes,Yes,No,2815
"Ida County, Iowa",10th grade,2013-2017,Less than High School,No,No,No,48
"Floyd County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Sioux County, Iowa",8th grade,2009-2013,Less than High School,No,No,No,856
"Shelby County, Iowa",9th grade,2015-2019,Less than High School,No,No,No,38
"Audubon County, Iowa",Nursery school,2015-2019,Less than High School,No,No,No,0
"O'Brien County, Iowa",6th grade,2015-2019,Less than High School,No,No,No,4
"Sac County, Iowa",Professional school degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,Yes,42
"Audubon County, Iowa",Nursery school,2012-2016,Less than High School,No,No,No,0
"Buchanan County, Iowa",8th grade,2010-2014,Less than High School,No,No,No,458
"Allamakee County, Iowa",GED or alternative credential,2015-2019,High School Graduate,Yes,No,No,361
"Woodbury County, Iowa",6th grade,2013-2017,Less than High School,No,No,No,815
"Montgomery County, Iowa",7th grade,2014-2018,Less than High School,No,No,No,10
"Allamakee County, Iowa",GED or alternative credential,2011-2015,High School Graduate,Yes,No,No,402
"Davis County, Iowa",Kindergarten,2010-2014,Less than High School,No,No,No,0
"Webster County, Iowa",4th grade,2015-2019,Less than High School,No,No,No,4
"Hancock County, Iowa",GED or alternative credential,2010-2014,High School Graduate,Yes,No,No,283
"Fayette County, Iowa","Some college, 1 or more years, no degree",2015-2019,Some College or Associates Degree,Yes,No,No,2040
"Fremont County, Iowa",Doctorate degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,29
"Boone County, Iowa",11th grade,2014-2018,Less than High School,No,No,No,244
"Sac County, Iowa",Professional school degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,43
