name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Franklin County, Iowa","12th grade, no diploma",2013-2017,Less than High School,No,No,No,82
"Marshall County, Iowa",Professional school degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,280
"Van Buren County, Iowa",Nursery school,2009-2013,Less than High School,No,No,No,0
"Ringgold County, Iowa",11th grade,2013-2017,Less than High School,No,No,No,103
"Lee County, Iowa",Master's degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,No,641
"Benton County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,217
"Ringgold County, Iowa",No schooling completed,2009-2013,Less than High School,No,No,No,21
"Marshall County, Iowa","Some college, 1 or more years, no degree",2010-2014,Some College or Associates Degree,Yes,No,No,4030
"Hamilton County, Iowa",3rd grade,2013-2017,Less than High School,No,No,No,0
"Poweshiek County, Iowa",7th grade,2015-2019,Less than High School,No,No,No,27
"Carroll County, Iowa",GED or alternative credential,2008-2012,High School Graduate,Yes,No,No,476
"Calhoun County, Iowa",10th grade,2009-2013,Less than High School,No,No,No,110
"Clarke County, Iowa",Master's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,213
"Adair County, Iowa",No schooling completed,2011-2015,Less than High School,No,No,No,11
"Wayne County, Iowa",11th grade,2014-2018,Less than High School,No,No,No,72
"Lucas County, Iowa",GED or alternative credential,2009-2013,High School Graduate,Yes,No,No,318
"Warren County, Iowa","Some college, 1 or more years, no degree",2011-2015,Some College or Associates Degree,Yes,No,No,4877
"Madison County, Iowa",Professional school degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,113
"Lyon County, Iowa",Kindergarten,2012-2016,Less than High School,No,No,No,0
"Cherokee County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,7
"Hamilton County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,1442
"Louisa County, Iowa",Bachelor's degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,No,828
"Clay County, Iowa",Associate's degree,2010-2014,Some College or Associates Degree,Yes,Yes,No,1733
"Henry County, Iowa",5th grade,2014-2018,Less than High School,No,No,No,0
"Buena Vista County, Iowa",4th grade,2009-2013,Less than High School,No,No,No,95
"Audubon County, Iowa",No schooling completed,2013-2017,Less than High School,No,No,No,5
"Scott County, Iowa",10th grade,2009-2013,Less than High School,No,No,No,1606
"Wright County, Iowa",1st grade,2010-2014,Less than High School,No,No,No,0
"Fremont County, Iowa",10th grade,2008-2012,Less than High School,No,No,No,72
"Harrison County, Iowa",Associate's degree,2011-2015,Some College or Associates Degree,Yes,Yes,No,995
"Union County, Iowa",Master's degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,No,341
"Madison County, Iowa",7th grade,2011-2015,Less than High School,No,No,No,62
"Benton County, Iowa",9th grade,2014-2018,Less than High School,No,No,No,115
"Henry County, Iowa",9th grade,2011-2015,Less than High School,No,No,No,141
"Page County, Iowa",7th grade,2013-2017,Less than High School,No,No,No,17
"Monona County, Iowa",No schooling completed,2014-2018,Less than High School,No,No,No,20
"Chickasaw County, Iowa",Master's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,291
"Lyon County, Iowa",1st grade,2015-2019,Less than High School,No,No,No,5
"Poweshiek County, Iowa",9th grade,2010-2014,Less than High School,No,No,No,168
"Tama County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,54
"Emmet County, Iowa",5th grade,2015-2019,Less than High School,No,No,No,0
"Howard County, Iowa",5th grade,2013-2017,Less than High School,No,No,No,5
"Benton County, Iowa",6th grade,2014-2018,Less than High School,No,No,No,0
"Fayette County, Iowa",6th grade,2015-2019,Less than High School,No,No,No,22
"Plymouth County, Iowa",2nd grade,2013-2017,Less than High School,No,No,No,0
"Woodbury County, Iowa",2nd grade,2012-2016,Less than High School,No,No,No,100
"Lucas County, Iowa",Nursery school,2015-2019,Less than High School,No,No,No,0
"Washington County, Iowa",Total,2009-2013,NA,NA,NA,NA,14935
"Greene County, Iowa",4th grade,2011-2015,Less than High School,No,No,No,0
"Van Buren County, Iowa",3rd grade,2009-2013,Less than High School,No,No,No,2
"Cass County, Iowa","12th grade, no diploma",2013-2017,Less than High School,No,No,No,173
"Marshall County, Iowa",Bachelor's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,3780
"Johnson County, Iowa",Total,2012-2016,NA,NA,NA,NA,83193
"Marion County, Iowa",Total,2010-2014,NA,NA,NA,NA,21641
"O'Brien County, Iowa",8th grade,2011-2015,Less than High School,No,No,No,211
"Wapello County, Iowa","Some college, less than 1 year",2014-2018,Some College or Associates Degree,Yes,No,No,2294
"Page County, Iowa",10th grade,2011-2015,Less than High School,No,No,No,202
"Taylor County, Iowa",Regular high school diploma,2008-2012,High School Graduate,Yes,No,No,1743
"Winnebago County, Iowa",1st grade,2015-2019,Less than High School,No,No,No,2
"Osceola County, Iowa",10th grade,2011-2015,Less than High School,No,No,No,81
"Carroll County, Iowa",7th grade,2015-2019,Less than High School,No,No,No,11
"Lyon County, Iowa",5th grade,2011-2015,Less than High School,No,No,No,0
"Cerro Gordo County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Johnson County, Iowa",10th grade,2015-2019,Less than High School,No,No,No,456
"Buchanan County, Iowa",3rd grade,2009-2013,Less than High School,No,No,No,7
"Dallas County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,7
"Kossuth County, Iowa","12th grade, no diploma",2012-2016,Less than High School,No,No,No,91
"Warren County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,1834
"Harrison County, Iowa",Total,2014-2018,NA,NA,NA,NA,9897
"Wright County, Iowa",Nursery school,2011-2015,Less than High School,No,No,No,0
"Sioux County, Iowa",11th grade,2013-2017,Less than High School,No,No,No,308
"Monona County, Iowa",9th grade,2014-2018,Less than High School,No,No,No,55
"Delaware County, Iowa",Total,2015-2019,NA,NA,NA,NA,11792
"Buena Vista County, Iowa",7th grade,2010-2014,Less than High School,No,No,No,157
"Emmet County, Iowa","Some college, 1 or more years, no degree",2009-2013,Some College or Associates Degree,Yes,No,No,1199
"Osceola County, Iowa",7th grade,2011-2015,Less than High School,No,No,No,27
"Wright County, Iowa",Regular high school diploma,2015-2019,High School Graduate,Yes,No,No,2921
"Dickinson County, Iowa",Nursery school,2009-2013,Less than High School,No,No,No,0
"Fayette County, Iowa",Associate's degree,2015-2019,Some College or Associates Degree,Yes,Yes,No,1549
"Cedar County, Iowa",3rd grade,2012-2016,Less than High School,No,No,No,0
"Shelby County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,980
"Buchanan County, Iowa",Nursery school,2013-2017,Less than High School,No,No,No,0
"Adams County, Iowa",11th grade,2012-2016,Less than High School,No,No,No,27
"Poweshiek County, Iowa",Total,2008-2012,NA,NA,NA,NA,12308
"Lee County, Iowa",Kindergarten,2012-2016,Less than High School,No,No,No,0
"Marion County, Iowa",Doctorate degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,292
"Polk County, Iowa",10th grade,2008-2012,Less than High School,No,No,No,3615
"Kossuth County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,1632
"Tama County, Iowa",9th grade,2011-2015,Less than High School,No,No,No,102
"Wapello County, Iowa",Associate's degree,2011-2015,Some College or Associates Degree,Yes,Yes,No,2612
"Boone County, Iowa","12th grade, no diploma",2013-2017,Less than High School,No,No,No,188
"Ida County, Iowa",Professional school degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,32
"Adams County, Iowa",5th grade,2008-2012,Less than High School,No,No,No,0
"Henry County, Iowa",Doctorate degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,46
"Lyon County, Iowa",4th grade,2015-2019,Less than High School,No,No,No,19
"Decatur County, Iowa",6th grade,2012-2016,Less than High School,No,No,No,16
"Hancock County, Iowa",10th grade,2008-2012,Less than High School,No,No,No,66
"Dallas County, Iowa",Total,2013-2017,NA,NA,NA,NA,52638
"Carroll County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,1842
"Cedar County, Iowa",GED or alternative credential,2011-2015,High School Graduate,Yes,No,No,499
"Story County, Iowa",10th grade,2014-2018,Less than High School,No,No,No,191
"Page County, Iowa",Master's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,529
"Benton County, Iowa","Some college, less than 1 year",2014-2018,Some College or Associates Degree,Yes,No,No,1389
"Winneshiek County, Iowa",8th grade,2009-2013,Less than High School,No,No,No,335
"Keokuk County, Iowa",Doctorate degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,Yes,10
"Poweshiek County, Iowa","12th grade, no diploma",2015-2019,Less than High School,No,No,No,150
"Kossuth County, Iowa",Total,2016-2020,NA,NA,NA,NA,10457
"Sac County, Iowa",5th grade,2013-2017,Less than High School,No,No,No,2
"Buchanan County, Iowa","Some college, 1 or more years, no degree",2010-2014,Some College or Associates Degree,Yes,No,No,1564
"Marion County, Iowa",No schooling completed,2009-2013,Less than High School,No,No,No,95
"Greene County, Iowa",Associate's degree,2013-2017,Some College or Associates Degree,Yes,Yes,No,763
"Dickinson County, Iowa",Professional school degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,283
"Jefferson County, Iowa","Some college, less than 1 year",2011-2015,Some College or Associates Degree,Yes,No,No,920
"Palo Alto County, Iowa",7th grade,2014-2018,Less than High School,No,No,No,3
"Greene County, Iowa",Doctorate degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,Yes,15
"Butler County, Iowa","12th grade, no diploma",2012-2016,Less than High School,No,No,No,122
"Webster County, Iowa",10th grade,2015-2019,Less than High School,No,No,No,388
"Clay County, Iowa",1st grade,2015-2019,Less than High School,No,No,No,0
"Chickasaw County, Iowa",1st grade,2009-2013,Less than High School,No,No,No,0
"Wapello County, Iowa",4th grade,2010-2014,Less than High School,No,No,No,25
"Adams County, Iowa",5th grade,2011-2015,Less than High School,No,No,No,0
"Webster County, Iowa",GED or alternative credential,2008-2012,High School Graduate,Yes,No,No,1415
"Greene County, Iowa",7th grade,2013-2017,Less than High School,No,No,No,7
"Floyd County, Iowa","Some college, less than 1 year",2013-2017,Some College or Associates Degree,Yes,No,No,870
"Lucas County, Iowa",Kindergarten,2009-2013,Less than High School,No,No,No,0
"O'Brien County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,36
"Plymouth County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,2525
"Iowa County, Iowa",8th grade,2015-2019,Less than High School,No,No,No,185
"Pottawattamie County, Iowa",7th grade,2014-2018,Less than High School,No,No,No,165
"Benton County, Iowa",Professional school degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,164
"Howard County, Iowa",Total,2012-2016,NA,NA,NA,NA,6415
"Bremer County, Iowa",10th grade,2012-2016,Less than High School,No,No,No,100
"Monroe County, Iowa","Some college, 1 or more years, no degree",2010-2014,Some College or Associates Degree,Yes,No,No,511
"Madison County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,1429
"Winneshiek County, Iowa",Associate's degree,2011-2015,Some College or Associates Degree,Yes,Yes,No,1728
"Ida County, Iowa",5th grade,2009-2013,Less than High School,No,No,No,0
"Marshall County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,597
"Carroll County, Iowa",Total,2008-2012,NA,NA,NA,NA,14163
"Cerro Gordo County, Iowa",Regular high school diploma,2010-2014,High School Graduate,Yes,No,No,8735
"Jasper County, Iowa",3rd grade,2013-2017,Less than High School,No,No,No,9
"Story County, Iowa",1st grade,2009-2013,Less than High School,No,No,No,0
"Worth County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,0
"Hardin County, Iowa",Associate's degree,2010-2014,Some College or Associates Degree,Yes,Yes,No,1739
"Winneshiek County, Iowa",Professional school degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,213
"Butler County, Iowa",Bachelor's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,1286
"Marshall County, Iowa",Nursery school,2009-2013,Less than High School,No,No,No,10
"Fremont County, Iowa",Professional school degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,61
"Emmet County, Iowa",6th grade,2008-2012,Less than High School,No,No,No,182
"Tama County, Iowa",No schooling completed,2008-2012,Less than High School,No,No,No,89
"Decatur County, Iowa",Regular high school diploma,2012-2016,High School Graduate,Yes,No,No,1564
"Appanoose County, Iowa",6th grade,2012-2016,Less than High School,No,No,No,51
"Montgomery County, Iowa",Total,2013-2017,NA,NA,NA,NA,7143
"Madison County, Iowa","Some college, less than 1 year",2009-2013,Some College or Associates Degree,Yes,No,No,744
"Washington County, Iowa",8th grade,2015-2019,Less than High School,No,No,No,422
"Taylor County, Iowa",Professional school degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,24
"Wapello County, Iowa",6th grade,2013-2017,Less than High School,No,No,No,316
"Mitchell County, Iowa",Professional school degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,45
"Bremer County, Iowa",Nursery school,2013-2017,Less than High School,No,No,No,0
"Kossuth County, Iowa",10th grade,2010-2014,Less than High School,No,No,No,99
"Taylor County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,531
"Jefferson County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Washington County, Iowa",4th grade,2011-2015,Less than High School,No,No,No,0
"Chickasaw County, Iowa",8th grade,2014-2018,Less than High School,No,No,No,203
"Winnebago County, Iowa",Nursery school,2014-2018,Less than High School,No,No,No,0
"Carroll County, Iowa","12th grade, no diploma",2013-2017,Less than High School,No,No,No,134
"Monona County, Iowa",3rd grade,2008-2012,Less than High School,No,No,No,0
"Guthrie County, Iowa",No schooling completed,2011-2015,Less than High School,No,No,No,60
"Appanoose County, Iowa",2nd grade,2012-2016,Less than High School,No,No,No,0
"Audubon County, Iowa","Some college, less than 1 year",2013-2017,Some College or Associates Degree,Yes,No,No,363
"Keokuk County, Iowa",8th grade,2009-2013,Less than High School,No,No,No,249
"Washington County, Iowa",5th grade,2015-2019,Less than High School,No,No,No,0
"Webster County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,96
"Fremont County, Iowa",Doctorate degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,Yes,27
"Scott County, Iowa",6th grade,2015-2019,Less than High School,No,No,No,229
"Adams County, Iowa","Some college, less than 1 year",2015-2019,Some College or Associates Degree,Yes,No,No,278
"Humboldt County, Iowa",8th grade,2013-2017,Less than High School,No,No,No,114
"Cass County, Iowa",4th grade,2012-2016,Less than High School,No,No,No,9
"Black Hawk County, Iowa",Master's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,4681
"Jackson County, Iowa",10th grade,2015-2019,Less than High School,No,No,No,133
"Clay County, Iowa",Bachelor's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,1921
"Bremer County, Iowa","Some college, less than 1 year",2015-2019,Some College or Associates Degree,Yes,No,No,942
"Story County, Iowa",Regular high school diploma,2013-2017,High School Graduate,Yes,No,No,8132
"Lucas County, Iowa","12th grade, no diploma",2010-2014,Less than High School,No,No,No,46
"Lee County, Iowa",Associate's degree,2011-2015,Some College or Associates Degree,Yes,Yes,No,2918
"Ringgold County, Iowa",No schooling completed,2008-2012,Less than High School,No,No,No,33
"Wayne County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,7
"Pocahontas County, Iowa",10th grade,2011-2015,Less than High School,No,No,No,73
"Decatur County, Iowa",10th grade,2012-2016,Less than High School,No,No,No,106
"Franklin County, Iowa",4th grade,2009-2013,Less than High School,No,No,No,12
"Winneshiek County, Iowa",4th grade,2009-2013,Less than High School,No,No,No,1
"Marshall County, Iowa",11th grade,2009-2013,Less than High School,No,No,No,690
"Davis County, Iowa",No schooling completed,2012-2016,Less than High School,No,No,No,60
"Muscatine County, Iowa",4th grade,2009-2013,Less than High School,No,No,No,163
"Henry County, Iowa",3rd grade,2010-2014,Less than High School,No,No,No,0
"Monroe County, Iowa",3rd grade,2012-2016,Less than High School,No,No,No,1
"Page County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,0
"Webster County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,994
"Wayne County, Iowa",3rd grade,2013-2017,Less than High School,No,No,No,0
"Davis County, Iowa",GED or alternative credential,2012-2016,High School Graduate,Yes,No,No,260
"Appanoose County, Iowa",Kindergarten,2014-2018,Less than High School,No,No,No,0
"Howard County, Iowa",Nursery school,2008-2012,Less than High School,No,No,No,0
"Greene County, Iowa",10th grade,2010-2014,Less than High School,No,No,No,120
"Monona County, Iowa",11th grade,2009-2013,Less than High School,No,No,No,134
"Van Buren County, Iowa",Total,2014-2018,NA,NA,NA,NA,5021
"Bremer County, Iowa",2nd grade,2010-2014,Less than High School,No,No,No,0
"Worth County, Iowa",3rd grade,2008-2012,Less than High School,No,No,No,6
"Adams County, Iowa","Some college, less than 1 year",2012-2016,Some College or Associates Degree,Yes,No,No,269
"Jefferson County, Iowa",No schooling completed,2008-2012,Less than High School,No,No,No,85
"Clayton County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,1367
"Montgomery County, Iowa","12th grade, no diploma",2009-2013,Less than High School,No,No,No,95
"Hardin County, Iowa",5th grade,2009-2013,Less than High School,No,No,No,1
"Poweshiek County, Iowa",No schooling completed,2009-2013,Less than High School,No,No,No,64
"Worth County, Iowa",Total,2011-2015,NA,NA,NA,NA,5358
"Cedar County, Iowa","Some college, less than 1 year",2011-2015,Some College or Associates Degree,Yes,No,No,943
"Lee County, Iowa","Some college, 1 or more years, no degree",2012-2016,Some College or Associates Degree,Yes,No,No,3841
"Henry County, Iowa",2nd grade,2009-2013,Less than High School,No,No,No,0
"Lee County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,0
"Fayette County, Iowa","Some college, 1 or more years, no degree",2008-2012,Some College or Associates Degree,Yes,No,No,1809
"Clinton County, Iowa",Kindergarten,2015-2019,Less than High School,No,No,No,12
"Lee County, Iowa",11th grade,2014-2018,Less than High School,No,No,No,418
"Fremont County, Iowa",7th grade,2014-2018,Less than High School,No,No,No,38
"Marion County, Iowa","Some college, 1 or more years, no degree",2010-2014,Some College or Associates Degree,Yes,No,No,3029
"Ringgold County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,22
"Black Hawk County, Iowa",6th grade,2011-2015,Less than High School,No,No,No,303
"Howard County, Iowa",Master's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,209
"Jasper County, Iowa",2nd grade,2009-2013,Less than High School,No,No,No,1
"Warren County, Iowa",2nd grade,2013-2017,Less than High School,No,No,No,0
"Van Buren County, Iowa",Master's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,177
"Warren County, Iowa",Associate's degree,2009-2013,Some College or Associates Degree,Yes,Yes,No,3002
"Clayton County, Iowa",Nursery school,2015-2019,Less than High School,No,No,No,7
"Tama County, Iowa",Kindergarten,2010-2014,Less than High School,No,No,No,0
"Taylor County, Iowa",3rd grade,2014-2018,Less than High School,No,No,No,5
"Marshall County, Iowa",Nursery school,2013-2017,Less than High School,No,No,No,17
"Montgomery County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,41
"Woodbury County, Iowa",8th grade,2013-2017,Less than High School,No,No,No,1226
"Warren County, Iowa",5th grade,2014-2018,Less than High School,No,No,No,8
"Cedar County, Iowa",Total,2016-2020,NA,NA,NA,NA,13072
"Delaware County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,0
"Van Buren County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,173
"Buena Vista County, Iowa",6th grade,2010-2014,Less than High School,No,No,No,438
"Iowa County, Iowa","Some college, less than 1 year",2009-2013,Some College or Associates Degree,Yes,No,No,824
"Montgomery County, Iowa",7th grade,2012-2016,Less than High School,No,No,No,15
"Emmet County, Iowa",6th grade,2011-2015,Less than High School,No,No,No,30
"Butler County, Iowa",11th grade,2015-2019,Less than High School,No,No,No,225
"Clinton County, Iowa",8th grade,2010-2014,Less than High School,No,No,No,922
"Adams County, Iowa",1st grade,2008-2012,Less than High School,No,No,No,0
"Howard County, Iowa",9th grade,2015-2019,Less than High School,No,No,No,63
"Worth County, Iowa",5th grade,2010-2014,Less than High School,No,No,No,0
"Marion County, Iowa",Regular high school diploma,2009-2013,High School Graduate,Yes,No,No,6678
"Dallas County, Iowa","Some college, less than 1 year",2009-2013,Some College or Associates Degree,Yes,No,No,2359
"Mahaska County, Iowa",7th grade,2012-2016,Less than High School,No,No,No,14
"Calhoun County, Iowa",Regular high school diploma,2015-2019,High School Graduate,Yes,No,No,2241
"Montgomery County, Iowa",No schooling completed,2012-2016,Less than High School,No,No,No,42
"Hardin County, Iowa",Master's degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,No,547
"Emmet County, Iowa",Kindergarten,2011-2015,Less than High School,No,No,No,0
"Fremont County, Iowa",2nd grade,2010-2014,Less than High School,No,No,No,0
"Taylor County, Iowa",6th grade,2014-2018,Less than High School,No,No,No,42
"Buena Vista County, Iowa",9th grade,2014-2018,Less than High School,No,No,No,390
"Fayette County, Iowa",4th grade,2013-2017,Less than High School,No,No,No,22
"Emmet County, Iowa",9th grade,2010-2014,Less than High School,No,No,No,17
"Pocahontas County, Iowa",9th grade,2012-2016,Less than High School,No,No,No,43
"Montgomery County, Iowa",Nursery school,2014-2018,Less than High School,No,No,No,0
"Ringgold County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,25
"Crawford County, Iowa",Regular high school diploma,2011-2015,High School Graduate,Yes,No,No,3620
"Grundy County, Iowa",Nursery school,2008-2012,Less than High School,No,No,No,0
"Clay County, Iowa",5th grade,2009-2013,Less than High School,No,No,No,10
"Jackson County, Iowa",Bachelor's degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,No,1566
"Cherokee County, Iowa","Some college, less than 1 year",2010-2014,Some College or Associates Degree,Yes,No,No,782
"Madison County, Iowa",2nd grade,2012-2016,Less than High School,No,No,No,0
"Jones County, Iowa",4th grade,2012-2016,Less than High School,No,No,No,0
"Page County, Iowa",11th grade,2008-2012,Less than High School,No,No,No,261
"Kossuth County, Iowa",10th grade,2013-2017,Less than High School,No,No,No,65
"Page County, Iowa",9th grade,2011-2015,Less than High School,No,No,No,176
"Dubuque County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,625
"Keokuk County, Iowa",4th grade,2012-2016,Less than High School,No,No,No,8
"Scott County, Iowa",3rd grade,2011-2015,Less than High School,No,No,No,77
"Sioux County, Iowa",Regular high school diploma,2011-2015,High School Graduate,Yes,No,No,5776
"Dallas County, Iowa",4th grade,2010-2014,Less than High School,No,No,No,8
"Sac County, Iowa",Bachelor's degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,No,1056
"Ringgold County, Iowa",7th grade,2014-2018,Less than High School,No,No,No,5
"Delaware County, Iowa",Bachelor's degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,No,1403
"Muscatine County, Iowa",Kindergarten,2013-2017,Less than High School,No,No,No,0
"Louisa County, Iowa",2nd grade,2015-2019,Less than High School,No,No,No,0
"Plymouth County, Iowa",11th grade,2011-2015,Less than High School,No,No,No,161
"Lyon County, Iowa",Professional school degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,49
"Page County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,1413
"Adair County, Iowa",8th grade,2008-2012,Less than High School,No,No,No,139
"Osceola County, Iowa",Associate's degree,2010-2014,Some College or Associates Degree,Yes,Yes,No,479
"Woodbury County, Iowa",3rd grade,2010-2014,Less than High School,No,No,No,345
"Warren County, Iowa",2nd grade,2012-2016,Less than High School,No,No,No,0
"Sioux County, Iowa",2nd grade,2014-2018,Less than High School,No,No,No,4
"Jasper County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,5
"Warren County, Iowa",1st grade,2009-2013,Less than High School,No,No,No,0
"Lyon County, Iowa",GED or alternative credential,2015-2019,High School Graduate,Yes,No,No,344
"Polk County, Iowa",Kindergarten,2013-2017,Less than High School,No,No,No,95
"Boone County, Iowa",Total,2011-2015,NA,NA,NA,NA,18317
"Mills County, Iowa",6th grade,2009-2013,Less than High School,No,No,No,14
"Union County, Iowa",3rd grade,2011-2015,Less than High School,No,No,No,0
"Mitchell County, Iowa",No schooling completed,2010-2014,Less than High School,No,No,No,23
"Polk County, Iowa",Kindergarten,2008-2012,Less than High School,No,No,No,58
"Worth County, Iowa",Nursery school,2008-2012,Less than High School,No,No,No,0
"Fremont County, Iowa",2nd grade,2013-2017,Less than High School,No,No,No,0
"Jones County, Iowa",Associate's degree,2014-2018,Some College or Associates Degree,Yes,Yes,No,1832
"Clayton County, Iowa",3rd grade,2015-2019,Less than High School,No,No,No,93
"Calhoun County, Iowa",Total,2011-2015,NA,NA,NA,NA,7100
"Jackson County, Iowa","12th grade, no diploma",2010-2014,Less than High School,No,No,No,156
"Osceola County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,0
"Union County, Iowa",Kindergarten,2011-2015,Less than High School,No,No,No,0
"Bremer County, Iowa",4th grade,2015-2019,Less than High School,No,No,No,0
"Wright County, Iowa",10th grade,2015-2019,Less than High School,No,No,No,179
"Wapello County, Iowa",8th grade,2012-2016,Less than High School,No,No,No,451
"Wright County, Iowa",11th grade,2013-2017,Less than High School,No,No,No,120
"Sac County, Iowa",Kindergarten,2012-2016,Less than High School,No,No,No,0
"Greene County, Iowa",Doctorate degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,Yes,8
"Henry County, Iowa","12th grade, no diploma",2011-2015,Less than High School,No,No,No,206
"Worth County, Iowa",1st grade,2015-2019,Less than High School,No,No,No,0
"Howard County, Iowa",2nd grade,2011-2015,Less than High School,No,No,No,0
"Fayette County, Iowa",GED or alternative credential,2011-2015,High School Graduate,Yes,No,No,727
"Winnebago County, Iowa",2nd grade,2008-2012,Less than High School,No,No,No,0
"Sioux County, Iowa",5th grade,2014-2018,Less than High School,No,No,No,2
"Floyd County, Iowa",Master's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,292
"Decatur County, Iowa",5th grade,2013-2017,Less than High School,No,No,No,19
"Carroll County, Iowa",9th grade,2009-2013,Less than High School,No,No,No,52
"Osceola County, Iowa",7th grade,2010-2014,Less than High School,No,No,No,14
"Humboldt County, Iowa",6th grade,2012-2016,Less than High School,No,No,No,7
"Cerro Gordo County, Iowa",GED or alternative credential,2009-2013,High School Graduate,Yes,No,No,1362
"Hancock County, Iowa",9th grade,2015-2019,Less than High School,No,No,No,67
"Woodbury County, Iowa",2nd grade,2009-2013,Less than High School,No,No,No,130
"Guthrie County, Iowa",11th grade,2011-2015,Less than High School,No,No,No,171
"Greene County, Iowa",Professional school degree,2010-2014,Bachelors Degree or Higher,Yes,Yes,Yes,71
"Pocahontas County, Iowa",Regular high school diploma,2012-2016,High School Graduate,Yes,No,No,1814
"Dubuque County, Iowa",5th grade,2010-2014,Less than High School,No,No,No,78
"Kossuth County, Iowa",Nursery school,2015-2019,Less than High School,No,No,No,0
"Plymouth County, Iowa",Professional school degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,273
"Jackson County, Iowa",Kindergarten,2015-2019,Less than High School,No,No,No,0
"Bremer County, Iowa",5th grade,2015-2019,Less than High School,No,No,No,3
