Buchanan County,"$80,402.00","$73,497.00","$87,307.00","$70,498.00","$63,943.00","$77,053.00","$64,503.00","$58,469.00","$70,537.00","$66,852.00","$60,049.00","$73,655.00","$67,906.00","$64,857.00","$70,955.00","$59,724.00","$54,192.00","$65,256.00","$90,133.00","$84,571.00","$95,695.00","$57,228.00","$51,752.00","$62,704.00","$55,848.00","$51,492.00","$60,204.00","$55,781.00","$50,642.00","$60,920.00","$54,383.00","$49,579.00","$59,187.00","$54,382.00","$50,883.00","$57,881.00","$52,930.00","$49,693.00","$56,167.00","$50,026.00","$47,330.00","$52,722.00","$51,052.00","$47,003.00","$55,101.00","$50,220.00","$47,472.00","$52,968.00","$47,329.00","$43,302.00","$51,356.00","$43,976.00","$40,658.00","$47,294.00","$43,627.00","$40,153.00","$47,101.00","$42,481.00","$39,891.00","$45,239.00","$40,130.00","$37,671.00","$42,749.00","$39,725.00","$37,092.00","$42,545.00","$39,356.00","$36,754.00","$42,142.00","$39,651.00","$36,772.00","$42,755.00"
Buena Vista County,"$65,671.00","$58,421.00","$72,921.00","$67,552.00","$60,624.00","$74,480.00","$60,576.00","$53,421.00","$67,731.00","$61,189.00","$52,871.00","$69,507.00","$57,048.00","$53,931.00","$60,165.00","$52,683.00","$47,716.00","$57,650.00","$55,491.00","$49,751.00","$61,231.00","$52,344.00","$48,661.00","$56,027.00","$51,991.00","$47,442.00","$56,540.00","$50,719.00","$47,206.00","$54,232.00","$47,514.00","$43,716.00","$51,312.00","$45,582.00","$42,679.00","$48,485.00","$46,356.00","$42,533.00","$50,179.00","$44,795.00","$40,978.00","$48,612.00","$43,864.00","$39,828.00","$47,900.00","$44,152.00","$40,822.00","$47,483.00","$39,858.00","$37,184.00","$42,533.00","$38,943.00","$36,043.00","$41,843.00","$37,363.00","$35,413.00","$39,312.00","$38,668.00","$36,311.00","$41,178.00","$36,530.00","$34,281.00","$38,926.00","$36,291.00","$33,885.00","$38,868.00","$35,985.00","$33,618.00","$38,518.00","$36,401.00","$33,732.00","$39,281.00"
Butler County,"$73,033.00","$65,437.00","$80,629.00","$67,233.00","$62,151.00","$72,315.00","$65,284.00","$60,279.00","$70,289.00","$54,822.00","$48,444.00","$61,200.00","$57,080.00","$52,294.00","$61,866.00","$57,971.00","$53,901.00","$62,041.00","$57,635.00","$52,251.00","$63,019.00","$54,970.00","$50,227.00","$59,713.00","$54,947.00","$51,735.00","$58,159.00","$52,273.00","$47,976.00","$56,570.00","$53,920.00","$49,095.00","$58,745.00","$51,605.00","$48,116.00","$55,094.00","$51,560.00","$48,243.00","$54,877.00","$49,703.00","$45,837.00","$53,569.00","$50,400.00","$47,517.00","$53,284.00","$47,798.00","$43,583.00","$52,012.00","$45,525.00","$41,629.00","$49,421.00","$42,335.00","$40,089.00","$44,581.00","$40,738.00","$37,519.00","$43,957.00","$42,096.00","$39,491.00","$44,874.00","$38,735.00","$36,324.00","$41,307.00","$38,445.00","$35,851.00","$41,226.00","$37,525.00","$35,008.00","$40,223.00","$37,880.00","$35,089.00","$40,894.00"
Calhoun County,"$63,597.00","$58,327.00","$68,867.00","$64,634.00","$59,233.00","$70,035.00","$59,643.00","$53,092.00","$66,194.00","$62,000.00","$55,302.00","$68,698.00","$57,007.00","$51,026.00","$62,988.00","$54,865.00","$49,548.00","$60,182.00","$61,175.00","$56,859.00","$65,491.00","$50,767.00","$45,835.00","$55,699.00","$49,206.00","$45,590.00","$52,822.00","$49,456.00","$44,707.00","$54,205.00","$47,351.00","$42,728.00","$51,974.00","$47,044.00","$42,779.00","$51,309.00","$46,171.00","$42,050.00","$50,292.00","$44,859.00","$40,914.00","$48,804.00","$44,833.00","$40,997.00","$48,669.00","$43,799.00","$39,565.00","$48,033.00","$42,152.00","$39,013.00","$45,290.00","$37,535.00","$34,363.00","$40,707.00","$37,575.00","$34,625.00","$40,525.00","$38,305.00","$35,952.00","$40,811.00","$35,369.00","$33,161.00","$37,724.00","$34,988.00","$32,649.00","$37,493.00","$34,391.00","$32,097.00","$36,848.00","$34,677.00","$32,144.00","$37,411.00"
Carroll County,"$61,806.00","$55,470.00","$68,142.00","$73,643.00","$66,563.00","$80,723.00","$65,598.00","$59,716.00","$71,480.00","$61,701.00","$57,089.00","$66,313.00","$61,379.00","$55,022.00","$67,736.00","$60,531.00","$54,509.00","$66,553.00","$60,458.00","$56,683.00","$64,233.00","$56,292.00","$51,542.00","$61,042.00","$58,575.00","$56,194.00","$60,956.00","$52,367.00","$47,335.00","$57,399.00","$51,328.00","$46,667.00","$55,989.00","$50,372.00","$46,369.00","$54,375.00","$49,251.00","$44,723.00","$53,779.00","$49,536.00","$45,476.00","$53,596.00","$46,086.00","$41,862.00","$50,309.00","$48,792.00","$44,758.00","$52,827.00","$47,285.00","$43,890.00","$50,681.00","$44,927.00","$41,622.00","$48,231.00","$42,631.00","$38,867.00","$46,395.00","$43,253.00","$40,566.00","$46,117.00","$40,594.00","$38,063.00","$43,293.00","$39,473.00","$36,815.00","$42,323.00","$38,993.00","$36,362.00","$41,814.00","$39,014.00","$36,143.00","$42,112.00"
Cass County,"$59,509.00","$53,459.00","$65,559.00","$61,204.00","$54,681.00","$67,727.00","$55,909.00","$49,257.00","$62,561.00","$55,301.00","$47,548.00","$63,054.00","$53,692.00","$47,900.00","$59,484.00","$50,356.00","$45,308.00","$55,404.00","$52,685.00","$48,391.00","$56,979.00","$47,897.00","$43,867.00","$51,927.00","$45,915.00","$41,937.00","$49,893.00","$46,159.00","$42,561.00","$49,757.00","$45,191.00","$42,235.00","$48,147.00","$44,906.00","$40,757.00","$49,055.00","$41,329.00","$37,588.00","$45,070.00","$40,867.00","$37,725.00","$44,009.00","$40,358.00","$36,545.00","$44,171.00","$40,716.00","$37,298.00","$44,134.00","$39,215.00","$36,054.00","$42,376.00","$38,490.00","$36,671.00","$40,309.00","$37,900.00","$34,557.00","$41,242.00","$37,276.00","$35,058.00","$39,634.00","$34,799.00","$32,668.00","$37,069.00","$33,985.00","$31,713.00","$36,420.00","$33,732.00","$31,488.00","$36,136.00","$34,618.00","$32,114.00","$37,317.00"
Cedar County,"$77,777.00","$70,840.00","$84,714.00","$71,563.00","$64,597.00","$78,529.00","$75,894.00","$68,563.00","$83,225.00","$68,592.00","$63,495.00","$73,689.00","$71,029.00","$65,484.00","$76,574.00","$67,597.00","$61,046.00","$74,148.00","$53,230.00","$47,997.00","$58,463.00","$63,672.00","$58,260.00","$69,084.00","$60,120.00","$56,018.00","$64,222.00","$61,423.00","$57,974.00","$64,872.00","$58,530.00","$56,691.00","$60,369.00","$57,084.00","$53,090.00","$61,078.00","$57,890.00","$55,090.00","$60,690.00","$55,413.00","$51,721.00","$59,105.00","$52,600.00","$48,491.00","$56,709.00","$55,566.00","$50,776.00","$60,356.00","$52,237.00","$47,741.00","$56,734.00","$49,076.00","$45,406.00","$52,746.00","$46,932.00","$44,298.00","$49,566.00","$47,767.00","$44,872.00","$50,850.00","$45,727.00","$42,936.00","$48,699.00","$44,940.00","$41,974.00","$48,116.00","$44,358.00","$41,439.00","$47,482.00","$44,431.00","$41,253.00","$47,853.00"
Cerro Gordo County,"$63,161.00","$58,520.00","$67,802.00","$63,279.00","$56,637.00","$69,921.00","$55,465.00","$50,476.00","$60,454.00","$57,659.00","$51,520.00","$63,798.00","$54,589.00","$50,154.00","$59,024.00","$51,939.00","$48,171.00","$55,707.00","$47,907.00","$42,964.00","$52,850.00","$53,109.00","$50,045.00","$56,173.00","$50,208.00","$46,842.00","$53,574.00","$49,569.00","$45,427.00","$53,711.00","$46,063.00","$42,727.00","$49,399.00","$43,822.00","$40,751.00","$46,893.00","$43,120.00","$40,791.00","$45,449.00","$43,982.00","$40,730.00","$47,234.00","$44,494.00","$40,711.00","$48,276.00","$45,023.00","$41,989.00","$48,058.00","$45,039.00","$41,918.00","$48,159.00","$40,750.00","$38,233.00","$43,267.00","$39,414.00","$37,451.00","$41,377.00","$40,045.00","$37,600.00","$42,649.00","$37,902.00","$35,588.00","$40,367.00","$37,303.00","$34,830.00","$39,951.00","$36,892.00","$34,454.00","$39,503.00","$37,503.00","$34,805.00","$40,410.00"
Cherokee County,"$70,197.00","$61,581.00","$78,813.00","$65,985.00","$58,272.00","$73,698.00","$64,286.00","$57,668.00","$70,904.00","$61,360.00","$52,177.00","$70,543.00","$59,901.00","$53,063.00","$66,739.00","$56,312.00","$51,001.00","$61,623.00","$64,091.00","$57,621.00","$70,561.00","$53,534.00","$48,100.00","$58,968.00","$52,879.00","$47,947.00","$57,811.00","$52,894.00","$47,745.00","$58,043.00","$51,655.00","$46,655.00","$56,655.00","$48,794.00","$44,586.00","$53,002.00","$47,570.00","$43,238.00","$51,902.00","$46,305.00","$42,367.00","$50,243.00","$44,474.00","$40,702.00","$48,246.00","$45,349.00","$41,568.00","$49,130.00","$42,913.00","$39,135.00","$46,691.00","$41,520.00","$38,160.00","$44,880.00","$41,435.00","$37,891.00","$44,979.00","$40,501.00","$38,020.00","$43,142.00","$37,853.00","$35,503.00","$40,358.00","$37,349.00","$34,842.00","$40,037.00","$36,907.00","$34,438.00","$39,553.00","$37,054.00","$34,316.00","$40,010.00"
Chickasaw County,"$73,547.00","$64,554.00","$82,540.00","$74,077.00","$69,035.00","$79,119.00","$67,667.00","$60,415.00","$74,919.00","$63,869.00","$55,578.00","$72,160.00","$60,111.00","$54,663.00","$65,559.00","$64,190.00","$58,883.00","$69,497.00","$54,328.00","$50,691.00","$57,965.00","$49,197.00","$45,202.00","$53,192.00","$57,559.00","$52,315.00","$62,803.00","$50,788.00","$47,051.00","$54,525.00","$50,342.00","$45,699.00","$54,985.00","$48,963.00","$45,065.00","$52,861.00","$47,311.00","$43,087.00","$51,535.00","$45,083.00","$41,275.00","$48,891.00","$43,990.00","$39,743.00","$48,238.00","$42,814.00","$39,388.00","$46,239.00","$42,630.00","$38,849.00","$46,410.00","$41,388.00","$38,652.00","$44,123.00","$44,023.00","$40,973.00","$47,073.00","$40,374.00","$37,866.00","$43,048.00","$37,562.00","$35,134.00","$40,158.00","$37,921.00","$35,348.00","$40,681.00","$37,994.00","$35,401.00","$40,776.00","$39,009.00","$36,209.00","$42,026.00"
