Geographic Area,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Cherokee County, Iowa","12,072","12,067","12,110","12,024","11,951","11,874","11,801","11,483","11,394","11,307","11,295","11,235"
".Chickasaw County, Iowa","12,439","12,442","12,410","12,405","12,287","12,274","12,252","12,151","12,094","12,002","11,952","11,933"
".Clarke County, Iowa","9,286","9,286","9,320","9,317","9,341","9,245","9,196","9,219","9,288","9,396","9,502","9,395"
".Clay County, Iowa","16,667","16,667","16,634","16,597","16,539","16,438","16,484","16,498","16,295","16,141","16,106","16,016"
".Clayton County, Iowa","18,129","18,128","18,080","18,017","17,946","17,793","17,768","17,726","17,661","17,648","17,540","17,549"
".Clinton County, Iowa","49,116","49,117","49,096","49,102","48,701","48,281","47,895","47,558","47,248","46,874","46,437","46,429"
".Crawford County, Iowa","17,096","17,096","17,170","17,217","17,299","17,360","17,168","17,082","17,103","17,076","17,089","16,820"
".Dallas County, Iowa","66,135","66,139","66,750","69,696","72,235","74,949","77,739","80,631","84,248","87,208","89,953","93,453"
".Davis County, Iowa","8,753","8,753","8,776","8,771","8,707","8,769","8,756","8,777","8,884","8,969","8,972","9,000"
".Decatur County, Iowa","8,457","8,456","8,418","8,249","8,239","8,216","8,209","8,137","8,053","7,947","7,890","7,870"
".Delaware County, Iowa","17,764","17,770","17,764","17,632","17,567","17,473","17,395","17,393","17,288","17,143","17,081","17,011"
".Des Moines County, Iowa","40,325","40,325","40,241","40,066","40,229","40,395","40,096","39,874","39,613","39,326","39,149","38,967"
".Dickinson County, Iowa","16,667","16,667","16,670","16,859","16,925","16,878","16,840","17,004","17,109","17,141","17,121","17,258"
".Dubuque County, Iowa","93,653","93,643","93,929","94,593","95,159","95,945","96,481","96,850","96,763","97,066","96,922","97,311"
".Emmet County, Iowa","10,302","10,302","10,276","10,089","9,944","9,880","9,821","9,702","9,581","9,422","9,277","9,208"
".Fayette County, Iowa","20,880","20,882","20,860","20,976","20,774","20,519","20,290","20,142","19,858","19,687","19,679","19,650"
".Floyd County, Iowa","16,303","16,293","16,309","16,095","16,087","16,023","15,999","15,910","15,857","15,767","15,752","15,642"
".Franklin County, Iowa","10,680","10,680","10,706","10,693","10,509","10,507","10,433","10,319","10,177","10,160","10,085","10,070"
".Fremont County, Iowa","7,441","7,438","7,434","7,371","7,141","7,069","7,030","6,912","6,947","6,930","6,981","6,960"
".Greene County, Iowa","9,336","9,337","9,362","9,332","9,181","9,159","9,124","8,944","9,001","8,954","8,965","8,888"
".Grundy County, Iowa","12,453","12,453","12,463","12,478","12,437","12,341","12,390","12,405","12,286","12,298","12,272","12,232"
".Guthrie County, Iowa","10,954","10,955","10,937","10,859","10,762","10,671","10,686","10,649","10,642","10,645","10,720","10,689"
".Hamilton County, Iowa","15,673","15,675","15,633","15,467","15,321","15,343","15,217","15,218","15,075","15,032","14,886","14,773"
".Hancock County, Iowa","11,341","11,338","11,297","11,292","11,175","11,131","11,040","11,028","10,887","10,756","10,710","10,630"
".Hardin County, Iowa","17,534","17,534","17,543","17,375","17,359","17,388","17,332","17,253","17,196","17,073","16,937","16,846"
".Harrison County, Iowa","14,928","14,937","14,909","14,764","14,475","14,357","14,265","14,139","14,046","14,107","14,105","14,049"
".Henry County, Iowa","20,145","20,145","20,106","20,243","19,992","20,021","19,834","19,843","19,833","20,044","20,033","19,954"
".Howard County, Iowa","9,566","9,564","9,568","9,546","9,548","9,439","9,353","9,313","9,257","9,229","9,172","9,158"
".Humboldt County, Iowa","9,815","9,814","9,792","9,782","9,723","9,677","9,636","9,556","9,530","9,569","9,559","9,558"
".Ida County, Iowa","7,089","7,089","7,066","7,046","7,044","7,074","6,971","6,968","6,961","6,869","6,846","6,860"
".Iowa County, Iowa","16,355","16,356","16,335","16,323","16,180","16,281","16,317","16,282","16,192","16,133","16,155","16,184"
".Jackson County, Iowa","19,848","19,853","19,830","19,734","19,685","19,517","19,431","19,366","19,393","19,382","19,427","19,439"
".Jasper County, Iowa","36,842","36,842","36,812","36,622","36,574","36,728","36,886","36,750","36,736","36,995","37,189","37,185"
".Jefferson County, Iowa","16,843","16,840","16,837","17,096","17,278","17,629","17,793","17,906","18,063","18,219","18,256","18,295"
".Johnson County, Iowa","130,882","130,882","131,337","134,086","137,103","140,151","142,730","144,943","146,928","149,325","150,549","151,140"
".Jones County, Iowa","20,638","20,636","20,689","20,743","20,601","20,519","20,548","20,433","20,392","20,618","20,673","20,681"
".Keokuk County, Iowa","10,511","10,510","10,508","10,398","10,427","10,337","10,283","10,171","10,170","10,141","10,213","10,246"
".Kossuth County, Iowa","15,543","15,545","15,525","15,400","15,413","15,332","15,229","15,158","15,104","14,939","14,878","14,813"
".Lee County, Iowa","35,862","35,862","35,849","35,569","35,541","35,236","35,059","34,894","34,458","34,216","33,909","33,657"
